id,title,learning_outcome_id,created_at,updated_at
263,Full attention is given to the complaining guest,62,2023-04-03 06:29:06,2023-04-03 06:29:06
264,Guest complain is paraphrased to determine if the concern is correctly understood,62,2023-04-03 06:29:08,2023-04-03 06:29:08
265,Sincere apology is offered for the disservice,63,2023-04-03 06:29:16,2023-04-03 06:29:16
266,Empathy is shown to the guest to show genuine concern and consideration,63,2023-04-03 06:29:19,2023-04-03 06:29:19
267,Excuses or blaming others are avoided,63,2023-04-03 06:29:21,2023-04-03 06:29:21
268,Gratitude is expressed to the guest for bringing the matter up for attention,63,2023-04-03 06:29:24,2023-04-03 06:29:24
269,Appropriate action is taken regarding the guest’s concerns,64,2023-04-03 06:29:31,2023-04-03 06:29:31
270,The right person or department who can solve the problem is informed for proper action,64,2023-04-03 06:29:33,2023-04-03 06:29:33
271,Difficult situations or serious concerns are elevated or referred to higher authority,64,2023-04-03 06:29:35,2023-04-03 06:29:35
272,Problem is followed-up to check whether it solved or not,64,2023-04-03 06:29:37,2023-04-03 06:29:37
273,Complaints are documented according to the establishment standard procedures,65,2023-04-03 06:29:49,2023-04-03 06:29:49
274,Persons concerned are recognized and actions taken are recorded,65,2023-04-03 06:29:51,2023-04-03 06:29:51
275,Feedback received from guests is logged and collated,65,2023-04-03 06:29:54,2023-04-03 06:29:54
